|       name |               hmsdms |                 ra |                  dec | label |
| T0000-2917 | 00h00m00s -29d17m22s |                0.0 |  -29.289444444444445 |     t |
| T0012-2917 | 00h12m37s -29d17m22s | 3.1541666666666663 |  -29.289444444444445 |     t |
| T0025-2917 | 00h25m15s -29d17m22s |  6.312499999999999 |  -29.289444444444445 |     t |
| T0037-2917 | 00h37m53s -29d17m22s |  9.470833333333331 |  -29.289444444444445 |     t |
| T0050-2917 | 00h50m31s -29d17m22s | 12.629166666666666 |  -29.289444444444445 |     t |
| T0103-2917 | 01h03m09s -29d17m22s | 15.787499999999998 |  -29.289444444444445 |     t |
| T0115-2917 | 01h15m47s -29d17m22s | 18.945833333333333 |  -29.289444444444445 |     t |
| T0128-2917 | 01h28m25s -29d17m22s | 22.104166666666664 |  -29.289444444444445 |     t |
| T0141-2917 | 01h41m03s -29d17m22s | 25.262499999999996 |  -29.289444444444445 |     t |
| T0153-2917 | 01h53m41s -29d17m22s |  28.42083333333333 |  -29.289444444444445 |     t |
| T0206-2917 | 02h06m18s -29d17m22s | 31.574999999999996 |  -29.289444444444445 |     t |
| T0218-2917 | 02h18m56s -29d17m22s |  34.73333333333333 |  -29.289444444444445 |     t |
| T0231-2917 | 02h31m34s -29d17m22s | 37.891666666666666 |  -29.289444444444445 |     t |
| T0244-2917 | 02h44m12s -29d17m22s |              41.05 |  -29.289444444444445 |     t |
| T0256-2917 | 02h56m50s -29d17m22s |  44.20833333333333 |  -29.289444444444445 |     t |
| T0309-2917 | 03h09m28s -29d17m22s |  47.36666666666666 |  -29.289444444444445 |     t |
| T0322-2917 | 03h22m06s -29d17m22s |  50.52499999999999 |  -29.289444444444445 |     t |
| T0334-2917 | 03h34m44s -29d17m22s |  53.68333333333332 |  -29.289444444444445 |     t |
| T0347-2917 | 03h47m22s -29d17m22s |  56.84166666666666 |  -29.289444444444445 |     t |
| T0359-2917 | 03h59m59s -29d17m22s |  59.99583333333332 |  -29.289444444444445 |     t |
| T0412-2917 | 04h12m37s -29d17m22s |  63.15416666666666 |  -29.289444444444445 |     t |
| T0425-2917 | 04h25m15s -29d17m22s |            66.3125 |  -29.289444444444445 |     t |
| T0437-2917 | 04h37m53s -29d17m22s |  69.47083333333333 |  -29.289444444444445 |     t |
| T0450-2917 | 04h50m31s -29d17m22s |  72.62916666666665 |  -29.289444444444445 |     t |
| T0503-2917 | 05h03m09s -29d17m22s |            75.7875 |  -29.289444444444445 |     t |
| T0515-2917 | 05h15m47s -29d17m22s |  78.94583333333333 |  -29.289444444444445 |     t |
| T0528-2917 | 05h28m25s -29d17m22s |  82.10416666666666 |  -29.289444444444445 |     t |
| T0541-2917 | 05h41m03s -29d17m22s |  85.26249999999999 |  -29.289444444444445 |     t |
| T0553-2917 | 05h53m41s -29d17m22s |  88.42083333333332 |  -29.289444444444445 |     t |
| T0606-2917 | 06h06m18s -29d17m22s |  91.57499999999999 |  -29.289444444444445 |     t |
| T0618-2917 | 06h18m56s -29d17m22s |  94.73333333333332 |  -29.289444444444445 |     t |
| T0631-2917 | 06h31m34s -29d17m22s |  97.89166666666665 |  -29.289444444444445 |     t |
| T0644-2917 | 06h44m12s -29d17m22s | 101.04999999999998 |  -29.289444444444445 |     t |
| T0656-2917 | 06h56m50s -29d17m22s | 104.20833333333333 |  -29.289444444444445 |     t |
| T0709-2917 | 07h09m28s -29d17m22s | 107.36666666666666 |  -29.289444444444445 |     t |
| T0722-2917 | 07h22m06s -29d17m22s | 110.52499999999999 |  -29.289444444444445 |     t |
| G0734-2917 | 07h34m44s -29d17m22s | 113.68333333333332 |  -29.289444444444445 |     g |
| G0747-2917 | 07h47m22s -29d17m22s | 116.84166666666665 |  -29.289444444444445 |     g |
| G0800-2917 | 08h00m00s -29d17m22s | 119.99999999999999 |  -29.289444444444445 |     g |
| G0812-2917 | 08h12m37s -29d17m22s | 123.15416666666665 |  -29.289444444444445 |     g |
| G0825-2917 | 08h25m15s -29d17m22s | 126.31249999999997 |  -29.289444444444445 |     g |
| T0837-2917 | 08h37m53s -29d17m22s | 129.47083333333333 |  -29.289444444444445 |     t |
| T0850-2917 | 08h50m31s -29d17m22s | 132.62916666666666 |  -29.289444444444445 |     t |
| T0903-2917 | 09h03m09s -29d17m22s |           135.7875 |  -29.289444444444445 |     t |
| T0915-2917 | 09h15m47s -29d17m22s |  138.9458333333333 |  -29.289444444444445 |     t |
| T0928-2917 | 09h28m25s -29d17m22s | 142.10416666666666 |  -29.289444444444445 |     t |
| T0941-2917 | 09h41m03s -29d17m22s |           145.2625 |  -29.289444444444445 |     t |
| T0953-2917 | 09h53m41s -29d17m22s |  148.4208333333333 |  -29.289444444444445 |     t |
| T1006-2917 | 10h06m18s -29d17m22s |            151.575 |  -29.289444444444445 |     t |
| T1018-2917 | 10h18m56s -29d17m22s | 154.73333333333335 |  -29.289444444444445 |     t |
| T1031-2917 | 10h31m34s -29d17m22s | 157.89166666666665 |  -29.289444444444445 |     t |
| T1044-2917 | 10h44m12s -29d17m22s | 161.04999999999998 |  -29.289444444444445 |     t |
| T1056-2917 | 10h56m50s -29d17m22s | 164.20833333333331 |  -29.289444444444445 |     t |
| T1109-2917 | 11h09m28s -29d17m22s | 167.36666666666665 |  -29.289444444444445 |     t |
| T1122-2917 | 11h22m06s -29d17m22s | 170.52499999999998 |  -29.289444444444445 |     t |
| T1134-2917 | 11h34m44s -29d17m22s |  173.6833333333333 |  -29.289444444444445 |     t |
| T1147-2917 | 11h47m22s -29d17m22s | 176.84166666666664 |  -29.289444444444445 |     t |
| T1200-2917 | 12h00m00s -29d17m22s | 179.99999999999997 |  -29.289444444444445 |     t |
| T1212-2917 | 12h12m37s -29d17m22s | 183.15416666666664 |  -29.289444444444445 |     t |
| T1225-2917 | 12h25m15s -29d17m22s | 186.31249999999997 |  -29.289444444444445 |     t |
| T1237-2917 | 12h37m53s -29d17m22s |  189.4708333333333 |  -29.289444444444445 |     t |
| T1250-2917 | 12h50m31s -29d17m22s | 192.62916666666666 |  -29.289444444444445 |     t |
| T1303-2917 | 13h03m09s -29d17m22s | 195.78749999999997 |  -29.289444444444445 |     t |
| T1315-2917 | 13h15m47s -29d17m22s |  198.9458333333333 |  -29.289444444444445 |     t |
| T1328-2917 | 13h28m25s -29d17m22s | 202.10416666666666 |  -29.289444444444445 |     t |
| T1341-2917 | 13h41m03s -29d17m22s | 205.26249999999996 |  -29.289444444444445 |     t |
| T1353-2917 | 13h53m41s -29d17m22s |  208.4208333333333 |  -29.289444444444445 |     t |
| T1406-2917 | 14h06m18s -29d17m22s |            211.575 |  -29.289444444444445 |     t |
| T1418-2917 | 14h18m56s -29d17m22s | 214.73333333333332 |  -29.289444444444445 |     t |
| T1431-2917 | 14h31m34s -29d17m22s | 217.89166666666665 |  -29.289444444444445 |     t |
| T1444-2917 | 14h44m12s -29d17m22s | 221.04999999999998 |  -29.289444444444445 |     t |
| T1456-2917 | 14h56m50s -29d17m22s | 224.20833333333331 |  -29.289444444444445 |     t |
| T1509-2917 | 15h09m28s -29d17m22s | 227.36666666666665 |  -29.289444444444445 |     t |
| T1522-2917 | 15h22m06s -29d17m22s | 230.52499999999998 |  -29.289444444444445 |     t |
| T1534-2917 | 15h34m44s -29d17m22s |  233.6833333333333 |  -29.289444444444445 |     t |
| T1547-2917 | 15h47m22s -29d17m22s |  236.8416666666666 |  -29.289444444444445 |     t |
| T1600-2917 | 16h00m00s -29d17m22s | 239.99999999999997 |  -29.289444444444445 |     t |
| T1612-2917 | 16h12m37s -29d17m22s |  243.1541666666666 |  -29.289444444444445 |     t |
| T1625-2917 | 16h25m15s -29d17m22s | 246.31249999999997 |  -29.289444444444445 |     t |
| T1637-2917 | 16h37m53s -29d17m22s |  249.4708333333333 |  -29.289444444444445 |     t |
| T1650-2917 | 16h50m31s -29d17m22s | 252.62916666666663 |  -29.289444444444445 |     t |
| T1703-2917 | 17h03m09s -29d17m22s |           255.7875 |  -29.289444444444445 |     t |
| T1715-2917 | 17h15m47s -29d17m22s |  258.9458333333333 |  -29.289444444444445 |     t |
| G1728-2917 | 17h28m25s -29d17m22s |  262.1041666666666 |  -29.289444444444445 |     g |
