taskid,name,reason
201029084,M0142+3130,military radar
201031086,M0141+3622,military radar
201101085,M0141+3356,military radar
201102085,M0141+3622,military radar
201103084,M0208+3130,military radar
201104081,M0208+3356,military radar
201105081,M0208+3356,military radar
201106081,M0141+3356,military radar
190713041,S2323+2904,CD delays
190714041,S1444+5058,CD delays
190718124,S2146+4340,CD delays
190718124,S2146+4340,CD delays
190719041,S1242+5058,CD delays
190720041,S2336+2904,CD delays
190721041,S1426+5058,CD delays
190908041,S2201+4340,CD delays
200430053,S1131+6041,no CD
200501001,S2346+5324,no CD
200501042,S1435+3356,no CD
200502054,S1142+5550,no CD
200503001,S2358+4832,no CD
200503042,S1443+3622,no CD
200505016,S0001+4606,no CD
200505057,S1446+3848,no CD
#190907041,S1342+6041,CD delays
#S1342+6041 manually rescheduled for second vist / redo as part of high freq test

